title,price,area,bedrooms,bathrooms
"دور للبيع في شارع شهيد الدين ثم الوطن فهد إبراهيم علي أب, حي النرجس, مدينة الرياض, منطقة الرياض","1,500,000",116 م²,4,3
"فيلا للبيع في شارع عذبة, حي حطين, مدينة الرياض, منطقة الرياض","4,900,000",300 م²,6,3
"فيلا للبيع في شارع خفاف بن ندبة, حي العليا, مدينة الرياض, منطقة الرياض","3,800,000",255 م²,4,3
"فيلا للبيع في شارع 1809991, حي الروابي, مدينة الرياض, منطقة الرياض","3,700,000",490 م²,4,2
"دور للإيجار في شارع شداد بن أوس, حي العليا, مدينة الرياض, منطقة الرياض","105,000",102 م²,2,
"شقة للبيع في شارع ربيعة القرشي, حي البوادي, مدينة جدة, منطقة مكة المكرمة","558,000",127 م²,4,1
"دور للبيع في شارع الجارود السلمي, حي عكاظ, مدينة الرياض, منطقة الرياض","750,000",200 م²,4,5
فيلا للبيع في شارع ابن الغرس ، حي النيصية ، حائل ، منطقة حائل,مزاد,640 م²,6,3
أرض للبيع في شارع ابي بكر ، حي الفيحاء ، جدة ، جدة,مزاد,57399 م²,40 م,سكني
عمارة للبيع في شارع عبدالسلام سحنون التنوخي ، حي الخالدية ، مكة ، منطقة مكة المكرمة,مزاد,824 م²,,
عمارة للبيع في حي ، شارع عمر ابن يوسف المقرئ ، حي بطحاء قريش ، مكة ، منطقة مكة المكرمة,مزاد,1200 م²,,
عمارة للبيع في شارع أحمد بن عبد الواحد ، حي الكعكية ، مكة ، منطقة مكة المكرمة,مزاد,583 م²,,
"شقة للبيع في شارع منار الادب, حي السلامة, مدينة جدة, منطقة مكة المكرمة","650,000",121 م²,4,1
بيت للبيع في شارع الاحراش ، حي البادية ، حائل ، منطقة حائل,مزاد,407 م²,5,1
أرض للبيع في الروضة ، منطقة حائل,مزاد,600 م²,15 م,
فيلا للبيع في شارع البارز ، حائل ، منطقة حائل,مزاد,410 م²,7,2
أرض للبيع في شارع المنتزه الشمالي 12 ، حي المنتزه الشرقي ، حائل ، منطقة حائل,مزاد,540 م²,15 م,
عمارة للبيع في شارع جارية ابن قدامه التميمي السعدي ، حي الكوثر ، مكة ، منطقة مكة المكرمة,مزاد,400 م²,,
"شقة للبيع في شارع اركوان الرومي, حي النعيم, مدينة جدة, منطقة مكة المكرمة","800,000",150 م²,4,1
"شقة للإيجار في شارع الإعتدال, حي بدر, مدينة الرياض, منطقة الرياض",,80 م²,2,
